"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
怎么不好用,您好，请详细描述您有什么问题，有什么可以帮助您。
我想问平时怎样做清洁,"尊敬的用户您好，您可以选择筒自洁功能，桶自洁功能是利用内桶高速旋转产生的风来干燥内外桶,从而保持内外桶的清洁,防止滋生霉菌。使用：设置程序到筒自洁，在筒内或者分配器盒中放入清洗剂（如经常清洗可以不用放清洗剂），然后开始运行程序，筒自洁完成后程序自动结束。注意运行筒自洁程序不要在筒内放入衣物。希望我的回答能够帮到您o(∩_∩)o…"
洗衣机的无线怎么连接的,这个需要家庭中有网络，具体请微信报修让服务人员上门指导，谢谢
冰箱冷冻调到几度？冷藏调到几度比较合适,"尊敬的用户您好！感谢您选择海尔电器，冰箱在日常使用过程中，冷藏一般设定在5度，冷冻设定在-18度，日常如有服务需求可以通过海尔服务APP快速维修等版块提报服务需求。 
"
我买的空调    不制冷   买了三年了  每年修    都修不好    我要求换新的,您好，给您添麻烦了！根据您所赢得问题，我们以落实到当地服务商，明天上午11点之前与您联系！
电饭煲煮一碗米的饭都需要40多分钟，为什么这么慢！,您好。现在的智能电饭煲不同于以往的机械式饭煲，智能系列更注重提升米饭的口感，机器在工作过程中有划分几个不同的工作阶段，有吸水、升温、加热、保温几个工作模块，并不是一直加热状态，相对传统机械式产品时间会长一些。
电视显示连接出错，怎么样可以重新链接,尊敬的用户您好！给您添麻烦了！您可以阅读一下详细的产品使用说明，按照里面标注的操作步骤与注意事项进行操作，由于不在现场无法准确判断您的问题，您也可以通过扫描机身二维码或打开海尔服务微信服务号联系在线客服，或直接致电4006-999-999，希望可以帮到您！
热水器出现E1是什么情况？,"您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
报售后没售后不修咋办？,你好非常抱歉给您添麻烦了，       请拨打4006999999联系维修
空调已经用了10年了,您好，请问有什么可以帮您解决的？
请问洗衣机机洗过衣服后衣服上有很多毛毛怎么解决？,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
洗衣机不投洗衣液怎么回事,有可能是洗衣粉盒检测有误，具体请微信报修让服务人员上门检查，谢谢
我家冰箱排水口不排水了，水都流到外面了，怎么回事？,"""尊敬的用户您好！根据您描述的冷藏底部有水，请您检查一下冷藏后背底部出水口是否堵住，建议您用透孔销或用废旧电话线进行疏通."
我家的新冰箱，一直在响，是咕噜噜的声音怎么回事？,尊敬的用户您好！您反应的咕噜声，有可能是制冷剂流动声，在冰箱的说明书中有详细的说明，冰箱制冷管路里面有制冷剂，液态制冷剂在管路中流动，会有水流流动声音。如果您需要专业人员上门诊断下，可以通过微信报修
净水机上的白色细的塑料管掉下，不知道插到什么位置？,你好，建议你把机器的进水阀门关闭。然后拨打我们全国服务热线：4009999999，让我们服务工程师上门处理。
滚筒洗衣机漂洗和甩干是一边出水一边洗吗，感觉好像有问题怎么一边洗一边出水呢第一次碰到，我买来就是这样一直不在家所以没用不知道，现在回老家了用了才发现,你好非常抱歉给您添麻烦了，这个属于是喷淋漂洗方式，这个是正常的，请放心使用，谢谢
今天洗衣服机下面有水什么问题，以前没有过。,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
海尔洗衣机洗到一半的时候报警然后出现E4 洗衣机里面一响 是怎么回事,你好非常抱歉给您添麻烦了，1：水龙头是否打开，2：水压过低导致，3：进水管与洗衣机连接处堵塞导致，4：是否按了启动按键，5：机门或上盖是否关好，或请通过海尔服务报修联系当地售后人员上门处理，谢谢
怎么甩干了还能拧出水来是不是甩干有问题,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
滚筒洗衣机不脱水是什么原因,"  尊敬的用户您好！给您添麻烦了！请您检查一下是否排水管道堵住或者开启了防皱浸泡功能，由于不在现场，无法准确判定或调试，建议您 通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直 接致电4006-999-999，希望可以帮到您！
"
我的洗衣机水管很难扒下(洗完衣服后）是什么原因呢？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
刚买的一个波轮洗衣机，声音怎么那么大呢？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
滚筒洗衣机如何设定时间,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
我买的智能空调，怎么不能无线链接,您好，请先检查空调是否通电，另手机是否已经下载app，家中的网络是否正常，联系请通过首页一键维修，我们会安排专业的服务人员上门检查并绑定，或拨打海尔服务热线4006999999进行预约上门，谢谢。
电视总出现UMW-VD 停止运行    这是什么原因？？？？,您好：抱歉给您添麻烦了！请你将按提示中确定键退出观察，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
三开门冰箱换内藏铜管多少钱,"""您好！这个要根据工作人员的服务项目措施收费，包括维修费，备件费等，工作人员收费时会给您出示收费标准，请您及时核对！
""
"
洗衣机有次洗衣服的时候小孩子动了，就不再工作了，请问怎样可以调一下。,抱歉给您添麻烦了！建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
"我买的冰箱BCD_221WDPT,我要出门打工不在家里,请问要通电吗","""尊敬的用户您好！短时间不用建议通着电，长时间不用的话建议断电，经常断电对冰箱的使用寿命是有影响的，谢谢！日常如有服务需求可以通过海尔服务APP快速维修等版块提报服务需求。 
""
"
为什么每次洗衣服甩水，甩的还能拧出睡来。,"尊敬的用户您好！给您添麻烦了！请您检查一下衣服有没有打结，如果衣服要是缠到一起，为了避免洗衣机剧烈震动，那么洗衣机就不起高速。重新整理，再选择甩干程序。这个功能叫智能偏心保护，说明书中有详细的描述。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
"
我家的电视经常自动关机，LF42,你好：抱歉给您添麻烦了！根据您提供的信息判断是否设置定时关机，如排除此定时设置仍无改善建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
垃圾的客服，千万别在海尔购买任何东西，简直他妈的垃圾售后，买了后质量差坏了没人修,尊敬的用户您好！给您添麻烦了！如果您对应享受的售后服务不满意，您可致电400投诉反馈一下您当前的情况，只要您投诉反馈过得情况都会有专人给您核实跟进处理的，给您带来的不便请您谅解，如有紧急情况可致电海尔全国售后服务热线4006-999-999，希望我的回答能够帮到您o(∩_∩)o…
我放置的就是冰箱里专用的温度计啊，放在冷藏中间的搁板上，已经放置了一天多了，显示就7～8度，而门上的温度显示图标始终是我设置的5度或是我设置的4度，不变。今天上午11：46提交请教的。卡萨帝 BCD_346WDCA 。请问属于什么问题？,尊敬的用户您好！我们是根据箱内各感温点的平均显示的，如您对此仍有疑问，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
